dch 0
com Dictionary trace from doing word counts in English text. 
lkp  through                  
ins through                  
lkp  the                      
ins the                      
lkp  looking                  
ins looking                  
lkp  glass                    
ins glass                    
lkp  by                       
ins by                       
lkp  lewis                    
ins lewis                    
lkp  carroll                  
ins carroll                  
lkp  chapter                  
ins chapter                  
lkp  one                      
ins one                      
lkp  looking                  
lkp  glass                    
lkp  house                    
ins house                    
lkp  one                      
lkp  thing                    
ins thing                    
lkp  was                      
ins was                      
lkp  certain                  
ins certain                  
lkp  that                     
ins that                     
lkp  the                      
lkp  white                    
ins white                    
lkp  kitten                   
ins kitten                   
lkp  had                      
ins had                      
lkp  had                      
lkp  nothing                  
ins nothing                  
lkp  to                       
ins to                       
lkp  do                       
ins do                       
lkp  with                     
ins with                     
lkp  it                       
ins it                       
lkp  it                       
lkp  was                      
lkp  the                      
lkp  black                    
ins black                    
lkp  kitten                   
lkp  s                        
ins s                        
lkp  fault                    
ins fault                    
lkp  entirely                 
ins entirely                 
lkp  for                      
ins for                      
lkp  the                      
lkp  white                    
lkp  kitten                   
lkp  had                      
lkp  been                     
ins been                     
lkp  having                   
ins having                   
lkp  its                      
ins its                      
lkp  face                     
ins face                     
lkp  washed                   
ins washed                   
lkp  by                       
lkp  the                      
lkp  old                      
ins old                      
lkp  cat                      
ins cat                      
lkp  for                      
lkp  the                      
lkp  last                     
ins last                     
lkp  quarter                  
ins quarter                  
lkp  of                       
ins of                       
lkp  an                       
ins an                       
lkp  hour                     
ins hour                     
lkp  and                      
ins and                      
lkp  bearing                  
ins bearing                  
lkp  it                       
lkp  pretty                   
ins pretty                   
lkp  well                     
ins well                     
lkp  considering              
ins considering              
lkp  so                       
ins so                       
lkp  you                      
ins you                      
lkp  see                      
ins see                      
lkp  that                     
lkp  it                       
lkp  couldn                   
ins couldn                   
lkp  t                        
ins t                        
lkp  have                     
ins have                     
lkp  hade                     
ins hade                     
lkp  any                      
ins any                      
lkp  hand                     
ins hand                     
lkp  in                       
ins in                       
lkp  the                      
lkp  mischief                 
ins mischief                 
